#FILE	NUM_FOUND	ColRNAI_1	blaEC-5	mdf(A)_1
abricate_ncbi.tab	1	.	100.00	.
abricate_plasmafinder.tab	1	100.00	.	.
abricate_resfinder.tab	1	.	.	100.00
