#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
spades/contigs.fasta	NODE_10_length_167286_cov_70.550012	90038	94285	-	fdeC	1-4251/4251	========/======	1/3	99.93	99.36	vfdb	YP_002390132	(fdeC) adhesin FdeC [FdeC (VF0506)] [Escherichia coli O45:K1:H7 str. S88]	
spades/contigs.fasta	NODE_10_length_167286_cov_70.550012	103547	104137	+	ykgK/ecpR	1-591/591	===============	0/0	100.00	99.32	vfdb	NP_286011	(ykgK/ecpR) regulator protein EcpR [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
spades/contigs.fasta	NODE_10_length_167286_cov_70.550012	104211	104798	+	yagZ/ecpA	1-588/588	===============	0/0	100.00	98.47	vfdb	NP_286010	(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
spades/contigs.fasta	NODE_10_length_167286_cov_70.550012	104855	105523	+	yagY/ecpB	1-669/669	===============	0/0	100.00	98.06	vfdb	NP_286009	(yagY/ecpB) E. coli common pilus chaperone EcpB [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
spades/contigs.fasta	NODE_10_length_167286_cov_70.550012	105549	108074	+	yagX/ecpC	1-2526/2526	===============	0/0	100.00	97.51	vfdb	NP_286008	(yagX/ecpC) E. coli common pilus usher EcpC [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
spades/contigs.fasta	NODE_10_length_167286_cov_70.550012	108064	109707	+	yagW/ecpD	1-1644/1644	===============	0/0	100.00	99.27	vfdb	NP_286007	(yagW/ecpD) polymerized tip adhesin of ECP fibers [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
spades/contigs.fasta	NODE_10_length_167286_cov_70.550012	109631	110384	+	yagV/ecpE	1-754/756	===============	0/0	99.74	98.54	vfdb	NP_286006	(yagV/ecpE) E. coli common pilus chaperone EcpE [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933]	
spades/contigs.fasta	NODE_10_length_167286_cov_70.550012	113995	118126	+	vat	1-4131/4131	========/======	1/1	100.00	99.98	vfdb	NP_752330	(vat) Haemoglobin protease [Tsh (VF0233)] [Escherichia coli CFT073]	
spades/contigs.fasta	NODE_11_length_165995_cov_67.617655	123490	124794	-	ybtS	1-1305/1305	===============	0/0	100.00	99.77	vfdb	NP_405477	(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
spades/contigs.fasta	NODE_11_length_165995_cov_67.617655	124822	126102	-	ybtX	1-1281/1281	===============	0/0	100.00	99.69	vfdb	NP_405476	(ybtX) putative signal transducer [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
spades/contigs.fasta	NODE_11_length_165995_cov_67.617655	126095	127897	-	ybtQ	1-1803/1803	===============	0/0	100.00	99.67	vfdb	NP_405475	(ybtQ) inner membrane ABC-transporter YbtQ [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
spades/contigs.fasta	NODE_11_length_165995_cov_67.617655	127884	129686	-	ybtP	1-1803/1803	===============	0/0	100.00	99.67	vfdb	NP_405474	(ybtP) lipoprotein inner membrane ABC-transporter [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
spades/contigs.fasta	NODE_11_length_165995_cov_67.617655	129853	130812	+	ybtA	1-960/960	===============	0/0	100.00	99.38	vfdb	NP_405473	(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
spades/contigs.fasta	NODE_11_length_165995_cov_67.617655	131003	137110	+	irp2	1-6108/6108	===============	0/0	100.00	99.33	vfdb	NP_405472	(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
spades/contigs.fasta	NODE_11_length_165995_cov_67.617655	137198	146689	+	irp1	1-9492/9492	===============	0/0	100.00	99.67	vfdb	NP_405471	(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
spades/contigs.fasta	NODE_11_length_165995_cov_67.617655	146686	147786	+	ybtU	1-1101/1101	===============	0/0	100.00	99.09	vfdb	NP_405470	(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
spades/contigs.fasta	NODE_11_length_165995_cov_67.617655	147783	148586	+	ybtT	1-804/804	===============	0/0	100.00	99.38	vfdb	NP_405469	(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92]	
